title,year,synopsis,critic_score,people_score,consensus,total_reviews,total_ratings,rating,genre,language,director,producer,writer,theater_release,streaming_release,gross_usa,runtime,production_co,crew,link
After the Storm,2016,A dissolute private detective (Hiroshi Abe) attempts to reconnect with his distrustful family following the death of his father.,96,80,"After the Storm crosses cultural lines to offer timeless observations about parental responsibilities, personal bonds, and the capacity for forgiveness.",138,"1,000+",unknown,drama,Japanese,Hirokazu Kore-eda,unknown,Hirokazu Kore-eda,2017-03-17,2017-07-11,270200,117,"GAGA, Fugitive Films","Hiroshi Abe, Kirin Kiki, Taiyô Yoshizawa, Hirokazu Kore-eda, Hirokazu Kore-eda, Hirokazu Kore-eda",http://www.rottentomatoes.com/m/after_the_storm_2017
The Vanishing,1988,"Rex (Gene Bervoets) and Saskia (Johanna Ter Steege) are enjoying a biking holiday in France when, stopping at a gas station, Saskia disappears. Confounded, Rex searches everywhere, but to no avail. Three years later, he's still obsessed with finding her, pleading his case on television, putting up posters and ruining his new relationship in the process. Eventually an unassuming chemistry teacher, Raymond (Bernard-Pierre Donnadieu), approaches Rex, intimating that he knows what happened.",98,88,"A clinical, maddening descent into the mind of a serial killer and a slowly unraveling hero, culminating with one of the scariest endings of all time.",49,"10,000+",unknown,mystery and thriller,Dutch,George Sluizer,"Anne Gordon, George Sluizer",unknown,,2017-03-25,,106,Argos Films,"Bernard-Pierre Donnadieu, Gene Bervoets, Johanna Ter Steege, Gwen Eckhaus, George Sluizer, Anne Gordon, George Sluizer",http://www.rottentomatoes.com/m/the_vanishing
Afghan Star,2009,"Director Havana Marking dives into the booming, but still young and growing, world of pop culture in Afghanistan. Newly liberated after more than 30 years of stifling Taliban rule, the country is taken with a fervor for expression. This documentary follows four contestants, including two women, as they audition, sing and compete in a countrywide ""American Idol""-type competition called ""Pop Idol."" Marking uncovers a wonderfully vibrant community, which is also surprisingly accepting.",100,77,An enlightening and sobering documentary on Afghanistan's very own X-Factor.,62,"5,000+",unknown,documentary,English,Havana Marking,unknown,unknown,2009-06-26,2016-11-18,101500,88,Roast Beef Productions,Havana Marking,http://www.rottentomatoes.com/m/afghan_star
Transit,2018,The new masterwork from the director of Phoenix and Barbara. A film by Christian Petzold.,94,62,Transit lives up to its title with a challenging drama that captures characters - and puts the audience - in a state of flux and exerts an unsettling pull.,178,100+,unknown,"history, drama",German,Christian Petzold,"Florian Koerner von Gustorf, Antonin Dedet",Christian Petzold,2019-03-01,2019-06-27,815300,101,"Neon Productions, Arte, ZDF, Schramm Film","Franz Rogowski, Paula Beer, Godehard Giese, Barbara Auer, Sebastian Hülk, Maryam Zaree, Antoine Oppenheim, Christian Petzold, Christian Petzold, Florian Koerner von Gustorf, Antonin Dedet, Hans Fromm, Bettina Böhler, Stefan Will",http://www.rottentomatoes.com/m/transit_2018
Project Nim,2011,"In the 1970s, professor Herb Terrace and his team raise a baby chimp as a human child, as part of an experiment intended to break the language barrier between animals and people.",97,84,"Equal parts hilarious, poignant, and heartbreaking, Project Nim not only tells a compelling story masterfully, but also raises the flag on the darker side of human nature.",146,"10,000+",PG-13,documentary,English,James Marsh,Simon Chinn,Elizabeth Hess,2011-07-08,2016-11-30,410100,99,Red Box Films,"Bern Cohen, Reagan Leonard, Anna May Marsh, Dennis Lauricella, Robert Nesi, James Marsh, Elizabeth Hess, John Battsek, Andrew Ruhemann, Jamie Laurenson, Nick Fraser, Simon Chinn, Hugo Grumbar, Michael Simmonds, Jinx Godfrey",http://www.rottentomatoes.com/m/project_nim
Blue,1993,"Julie (Juliette Binoche) is haunted by her grief after living through a tragic auto wreck that claimed the life of her composer husband and young daughter. Her initial reaction is to withdraw from her relationships, lock herself in her apartment and suppress her pain. But avoiding human interactions on the bustling streets of Paris proves impossible, and she eventually meets up with Olivier (Benoît Régent), an old friend who harbors a secret love for her, and who could draw her back to reality.",98,93,"Three Colors: Blue contains some of director/co-writer Krzysztof Kieslowski's most visually arresting, emotionally resonant work -- and boasts an outstanding performance from Juliette Binoche in the bargain.",46,"25,000+",R,drama,French,Krzysztof Kieslowski,Marin Karmitz,unknown,,2017-03-11,539200,97,"MK2 Productions, CAB Productions, Canal+, France 3 (FR 3)","Juliette Binoche, Benoît Régent, Florence Pernel, Hélène Vincent, Philippe Volter, Hugues Quester, Emmanuelle Riva, Julie Delpy, Zbigniew Zamachowski, Alain Decaux, Krzysztof Kieslowski, Marin Karmitz",http://www.rottentomatoes.com/m/three_colors_blue
Elevator to the Gallows,1958,"Restless femme fatale Florence Carala (Jeanne Moreau) recruits her lover, Julien Tavernier (Maurice Ronet), to murder her wealthy husband, Simon (Jean Wall), in his office and make it appear like a suicide. Tavernier does the dirty deed eagerly, but becomes trapped in an elevator when he returns to remove a key piece of evidence he had accidentally left behind. Tavernier's unfortunate oversight sets into motion a dark ripple of events that bloodies the cold Paris night.",93,91,"Louis Malle's hypnotic debut is a noir with genuine soul, infusing its tale of best laid plans gone awry with wistful performances, swooning cinematography, and a sultry soundtrack.",57,"1,000+",unknown,mystery and thriller,French,Louis Malle,Jean Thuillier,"Noël Calef, Louis Malle, Roger Nimier",,2017-03-11,104800,90,Nouvelles Éditions de Films [fr],"Jeanne Moreau, Maurice Ronet, Jean Wall, Georges Poujouly, Yori Bertin, Lino Ventura, Elga Andersen, Micheline Bona, Félix Marten, Louis Malle, Louis Malle, Roger Nimier, Jean Thuillier, Miles Davis, Jean Mandaroux, Rino Mondellini",http://www.rottentomatoes.com/m/elevator_to_the_gallows
Monsieur Lazhar,2011,A recent emigrant (Fellag) of Algeria takes over a Canadian classroom after a teacher's tragic death.,97,86,Monsieur Lahzar is a tender and thoughtful portrait of a man with hidden grief and also a compelling exploration of the teacher-student dynamic.,119,"25,000+",PG-13,drama,French,Philippe Falardeau,"Luc Déry, Kim McCraw",Philippe Falardeau,2012-04-13,2016-08-10,2000000,94,unknown,"Fellag, Danielle Proulx, Brigitte Poupart, Jules Philip, Daniel Gadouas, Louis Champagne, Seddik Benslimane, Philippe Falardeau, Philippe Falardeau, Kim McCraw",http://www.rottentomatoes.com/m/monsieur_lazhar_2011
Darbareye Elly,2009,A young teacher disappears before being introduced to a potential suitor in northern Iran.,99,84,"About Elly offers viewers performances as powerful as its thought-provoking ideas, and adds another strong entry to Asghar Farhadi's impressive filmography.",70,"5,000+",unknown,"mystery and thriller, drama",Persian,Asghar Farhadi,"Asghar Farhadi, Simaye Mehr, Mahmoud Razavi","Asghar Farhadi, Azad Jafarian",,2016-08-10,106700,119,unknown,"Golshifteh Farahani, Shahab Hosseini, Taraneh Alidoosti, Merila Zare'i, Mani Haghighi, Payman Maadi, Ra'na Azadivar, Ahmad Mehranfar, Saber Abbar, Asghar Farhadi, Asghar Farhadi, Azad Jafarian, Asghar Farhadi, Mahmoud Razavi, Andrea Bauer, Hossein Djafarian, Hayedeh Safiyari, Asghar Farhadi",http://www.rottentomatoes.com/m/about_elly
Fireworks Wednesday,2006,"Upon hearing of the engagement of her housekeeper, Roohi (Taraneh Alidoosti), housewife Mozhde (Hedye Tehrani) sends the betrothed to enjoy free services at a local salon -- provided that she eavesdrop to verify suspicions that her wealthy husband, Morteza (Hamid Farokhnezhad), is having an affair. But when -- in a misguided attempt to mend the Samieis' impossibly broken marriage -- Roohi ignores Mozhde's instructions, her naive meddling may throw the couple even deeper into turmoil.",100,84,"Well-written and powerfully acted, Fireworks Wednesday gives audiences an early, assured glimpse of writer-director Asghar Farhadi's emerging talent.",44,"1,000+",unknown,drama,Persian,Asghar Farhadi,unknown,"Asghar Farhadi, Mani Haghighi",,2017-09-23,,104,unknown,"Taraneh Alidoosti, Hedye Tehrani, Hamid Farokhnezhad, Pantea Bahram, Asghar Farhadi, Asghar Farhadi, Mani Haghighi",http://www.rottentomatoes.com/m/fireworks_wednesday
The Class,2008,"Francois Marin (François Bégaudeau) is a French language and literature teacher at an inner-city Paris high school. As the new school year begins, he introduces himself to his new class and begins the arduous process of reaching out to each of them. Marin encounters his share of problem students, teen violence, ethnic tensions between classmates and education barriers within the group, all of which test his patience and -- more importantly -- his resolve as an educator.",95,82,"Energetic and bright, this hybrid of documentary style and dramatic plotting looks at the present and future of France through the interactions of a teacher and his students in an inner city high school.",161,"10,000+",PG-13,drama,French,Laurent Cantet,"Barbara Letellier, Caroline Benjo, Carole Scotta, Simon Arnal","François Bégaudeau, Robin Campillo, Laurent Cantet",2008-12-19,2012-04-16,3800000,129,"France 2 (FR2), Agence Nationale pour la Cohésion Sociale et l'Egalité des Chances, Haut et Court, Région Ile-de-France, CinéCinéma, Cofinova 4, Procirep, France 2 Cinéma, Canal+, Centre National de la Cinematographie, Fonds Images de la Diversité, Soficinéma 3, MEDIA Programme of the European Union","François Bégaudeau, Rachel Regulier, Franck Keita, Wei Huang, Agame Malembo-Emene, Angélica Sancio, Arthur Fogel, Laurent Cantet, François Bégaudeau, Robin Campillo, Laurent Cantet, Barbara Letellier, Caroline Benjo, Carole Scotta, Simon Arnal, Pierre Milon",http://www.rottentomatoes.com/m/the_class
Last Train Home,2009,"Annually, an estimated 130 million factories workers in China migrate from their city of employment back to the village they grew up in. This documentary spotlights married couple Chen and Zhang as they make their own journey. Chen and Zhang must struggle to reconnect with their children, whom they see only once a year. When they discover that their daughter has decided to drop out of school to work at a factory herself, they begin questioning the value of their sacrifice.",100,87,"Last Train Home is a haunting, vivid documentary exploring the human toll of China's economic boom in intimate, unforgettable detail.",54,"5,000+",unknown,documentary,Chinese,Lixin Fan,"Mila Aung-Thwin, Daniel Cross",unknown,,2017-03-23,285800,85,unknown,"Lixin Fan, Mila Aung-Thwin, Daniel Cross, Olivier Alary, Lixin Fan, Yung Chang, Lixin Fan, Mary Stephen",http://www.rottentomatoes.com/m/last_train_home-2009
Maria Full of Grace,2004,"Seventeen-year-old Colombian Maria (Catalina Sandino Moreno) is desperate: pregnant and with a large family to care for, she's forced to leave a demanding job after an altercation with her boss. Needing work as soon as possible, she encounters charming Franklin (John Álex Toro), who offers her a dangerous job as a drug mule. With cocaine pellets in her stomach, Maria flies to New York for the drug drop-off, but finds her new line of work may be far riskier than it initially seemed.",97,87,"In a striking debut, Moreno carries the movie and puts a human face on the drug trade.",146,"25,000+",R,drama,English,Joshua Marston,Paul S. Mezey,Joshua Marston,,2017-12-22,6500000,101,Santa Fe Productions,"Catalina Sandino Moreno, Yenny Paola Vega, Guilied Lopez, Patricia Rae, Wilson Guerrero, Jaime Osorio Gómez, Johanna Andrea Mora, Joshua Marston, Joshua Marston, Paul S. Mezey, Jaime Osorio Gómez, Jim Denault, Becky Glupczynski, Monica Marulanda",http://www.rottentomatoes.com/m/maria_full_of_grace
The Look of Silence,2014,An optician confronts the men who killed the brother that he never knew during the 1960s Indonesian genocide.,96,90,The Look of Silence delivers a less shocking -- yet just as terribly compelling -- companion piece to Joshua Oppenheimer's The Act of Killing.,138,"5,000+",PG-13,documentary,Indonesian,Joshua Oppenheimer,Signe Byrge Sørensen,unknown,2015-07-17,2016-03-04,109100,99,Final Cut for Real,"Werner Herzog, Errol Morris, André Singer, Nils Pagh Andersen",http://www.rottentomatoes.com/m/the_look_of_silence
My Left Foot,1989,"No one expects much from Christy Brown (Daniel Day-Lewis), a boy with cerebral palsy born into a working-class Irish family. Though Christy is a spastic quadriplegic and essentially paralyzed, a miraculous event occurs when, at the age of 5, he demonstrates control of his left foot by using chalk to scrawl a word on the floor. With the help of his steely mother (Brenda Fricker) -- and no shortage of grit and determination -- Christy overcomes his infirmity to become a painter, poet and author.",98,92,"No doubt most will come to My Left Foot for Daniel Day-Lewis' performance, but the movie's refusal to go downbeat will keep it in viewer minds afterwards.",41,"25,000+",R,biography,English,Jim Sheridan,Noel Pearson,unknown,,2016-04-21,14500000,103,Granada Television,"Daniel Day-Lewis, Ray McAnally, Brenda Fricker, Ruth McCabe, Fiona Shaw, Eanna Macliam, Alison Whelan, Declan Croghan, Hugh O'Conor, Cyril Cusack, Jim Sheridan, Paul M. Heller, Steve Morrison, Noel Pearson, Jack Conroy, J. Patrick Duffner, Nuala Moiselle, Kevin Barker",http://www.rottentomatoes.com/m/my_left_foot
Nostalgia for the Light,2010,"In Chile's Atacama Desert, widows search for the bones of loved ones, left by Pinochet's atrocities.",100,84,none,48,"2,500+",unknown,documentary,Spanish,Patricio Guzmán,"Meike Martens, Renate Sachse",Patricio Guzmán,,2016-05-10,,90,unknown,"Valentina Rodríguez, Verónica Rosselot, Meike Martens, Renate Sachse, Katell Djian",http://www.rottentomatoes.com/m/nostalgia_for_the_light
Throne of Blood,1957,"Returning to their lord's castle, samurai warriors Washizu (Toshirô Mifune) and Miki (Minoru Chiaki) are waylaid by a spirit who predicts their futures. When the first part of the spirit's prophecy comes true, Washizu's scheming wife, Asaji (Isuzu Yamada), presses him to speed up the rest of the spirit's prophecy by murdering his lord and usurping his place. Director Akira Kurosawa's resetting of William Shakespeare's ""Macbeth"" in feudal Japan is one of his most acclaimed films.",95,94,A career high point for Akira Kurosawa -- and one of the best film adaptations of a Shakespeare play.,43,"10,000+",unknown,drama,Japanese,Akira Kurosawa,"Akira Kurosawa, Sojiro Motoki",unknown,1957-11-22,2016-11-17,,108,"Toho Company Ltd., Kurosawa Production","Toshirô Mifune, Isuzu Yamada, Takashi Shimura, Minoru Chiaki, Akira Kubo, Takamaru Sasaki, Chieko Naniwa, Akira Kurosawa, Shinobu Hashimoto, Ryûzô Kikushima, Akira Kurosawa, Hideo Oguni, Akira Kurosawa, Sojiro Motoki, Asakazu Nakai, Akira Kurosawa",http://www.rottentomatoes.com/m/throne_of_blood
A Prophet,2009,"This acclaimed crime drama follows Malik El Djebena (Tahar Rahim), a delinquent young Muslim man, who is struggling to get by in a French prison. When he is taken under the wing of powerful Corsican mob boss Cesar Luciani (Niels Arestrup), he begins performing regular assignments for him, proving himself invaluable to the imposing criminal. As Malik rises in the mob ranks, he gains more power, but also more enemies, a situation that eventually brings conflict with his mentor.",96,89,"Featuring an impressive star turn by newcomer Tahar Rahim, A Prophet is a French gangster film filled with arresting, immediate details.",162,"10,000+",R,"crime, drama",French,Jacques Audiard,Martine Cassinelli,"Jacques Audiard, Thomas Bidegain, Thomas Bidegain",2010-02-26,2012-04-16,2100000,154,"Centre National de la Cinématographie (CNC), France 2 (FR2), Conseil Régional de Provence-Alpes Côte d'Azur, Chic Films, Why Not Productions, Neon Productions, Page 114, Sofica Soficinéma 4, Celluloid Dreams, France 2 Cinéma, CinéCinéma, Sofica UGC 1, Soficinéma 5, Zyzzyx LLC, Canal+, Union Générale Cinématographique (UGC), Région Ile-de-France, BIM Distribuzione","Tahar Rahim, Niels Arestrup, Adel Bencherif, Hichem Yacoubi, Reda Kateb, Antoine Basler, Gilles Cohen, Pascal Henault, Foued Nassah, Jean-Emmanuel Pagni, Jacques Audiard, Jacques Audiard, Thomas Bidegain, Martine Cassinelli, Alexandre Desplat, Stéphane Fontaine, Richard Rousseau, Juliette Welfling, Thomas Bidegain",http://www.rottentomatoes.com/m/1213205-prophet
